set,context,dep_gene,tested,replicated,result
primary,MUT_DAM:MYH9,UQCC2,True,False,"{""res"": {""beta"": 0.013829740799668673, ""r"": 0.0123524827415951, ""p_two_sided"": 0.8509143189352173, ""se"": 0.07349920754401867, ""df"": 232, ""n"": 270, ""n_pos"": 7, ""n_neg"": 263, ""dep_sd"": 0.18434962671355173}, ""rep"": {""same_sign"": false, ""p_one_sided"": 0.5745428405323914, ""d_discovery_shrunken"": 1.0004027707334444, ""d_holdout"": 0.07501908762287737, ""magnitude_ok"": false, ""replicated"": false}}"
primary,DEL:LILRA6,EIF1AX,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:SMARCA4,RAB6A,True,True,"{""res"": {""beta"": 0.09073095412913748, ""r"": 0.09369070542778891, ""p_two_sided"": 0.02139367894908938, ""se"": 0.03932848442828507, ""df"": 601, ""n"": 656, ""n_pos"": 50, ""n_neg"": 606, ""dep_sd"": 0.25454502972428894}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.01069683947454469, ""d_discovery_shrunken"": 0.4372366060689331, ""d_holdout"": 0.3564436289618891, ""magnitude_ok"": true, ""replicated"": true}}"
primary,MUT_DAM:ESRP1,SATB2,True,False,"{""res"": {""beta"": -0.0474282350593283, ""r"": -0.045255406826929384, ""p_two_sided"": 0.26798803179231795, ""se"": 0.042776760697036426, ""df"": 599, ""n"": 654, ""n_pos"": 17, ""n_neg"": 637, ""dep_sd"": 0.16628040613381226}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.13399401589615897, ""d_discovery_shrunken"": 0.8539974049384458, ""d_holdout"": 0.2852304499494725, ""magnitude_ok"": false, ""replicated"": false}}"
primary,MUT_DAM:SEC31A,MRPL53,False,False,"{""res"": null, ""rep"": null}"
primary,DEL:LRP1B,TAPT1,True,False,"{""res"": {""beta"": 0.02502320399805582, ""r"": 0.031112309223260613, ""p_two_sided"": 0.5432976909432821, ""se"": 0.041130945533037006, ""df"": 382, ""n"": 430, ""n_pos"": 16, ""n_neg"": 414, ""dep_sd"": 0.15527566006938093}, ""rep"": {""same_sign"": false, ""p_one_sided"": 0.728351154528359, ""d_discovery_shrunken"": 0.7024369373415353, ""d_holdout"": 0.16115342215821105, ""magnitude_ok"": false, ""replicated"": false}}"
primary,MUT_DAM:ASXL1,RCOR1,True,False,"{""res"": {""beta"": 0.0094952555377309, ""r"": 0.008796950457164087, ""p_two_sided"": 0.8435169317411703, ""se"": 0.048077562134724805, ""df"": 504, ""n"": 554, ""n_pos"": 19, ""n_neg"": 535, ""dep_sd"": 0.18623582512539738}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.42175846587058513, ""d_discovery_shrunken"": 0.6133228875852181, ""d_holdout"": 0.05098511809603496, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:ATP6V0E2,ATP6V0E1,True,False,"{""res"": {""beta"": -0.06881134863941035, ""r"": -0.0686300011797337, ""p_two_sided"": 0.09222591135493578, ""se"": 0.04080220474754816, ""df"": 601, ""n"": 657, ""n_pos"": 23, ""n_neg"": 634, ""dep_sd"": 0.1824665541582301}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.04611295567746789, ""d_discovery_shrunken"": 1.9730264317108355, ""d_holdout"": 0.37711759810918005, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:RPP25,RPP25L,False,False,"{""res"": null, ""rep"": null}"
primary,EXPR_LOW:TTC7B,TTC7A,True,False,"{""res"": {""beta"": -0.1165348352479373, ""r"": -0.1681316039206752, ""p_two_sided"": 0.000163608856223044, ""se"": 0.030678828510161293, ""df"": 496, ""n"": 548, ""n_pos"": 34, ""n_neg"": 514, ""dep_sd"": 0.15793510494332882}, ""rep"": {""same_sign"": true, ""p_one_sided"": 8.1804428111522e-05, ""d_discovery_shrunken"": 1.8401230117418277, ""d_holdout"": 0.7378653105004932, ""magnitude_ok"": false, ""replicated"": false}}"
