context,drug,beta,r,se,beta_lb,p,n_models,df,q
EXPR_LOW:GSDMD,BI-2536,-1.5961551407296497,-0.2127033396613498,0.2968809739093927,1.01426843186724,1.0834696968752557e-07,675,610,0.0008670545762524
EXPR_LOW:MYOF,BI-2536,-1.4948062663376396,-0.1909342984071091,0.3111514572923781,0.8849494100445784,1.958749813319487e-06,675,610,0.004998955138753
EXPR_LOW:EPAS1,BI-2536,-1.329869758773364,-0.1878787626888936,0.2814900149807116,0.7781493294111693,2.8673367981494436e-06,675,610,0.0059689104735356
EXPR_LOW:C11orf52,BI-2536,-1.2321245699725698,-0.2087614277115776,0.2337025569016268,0.7740675584453813,1.8737886698276634e-07,675,610,0.0012427017445743
EXPR_LOW:PRSS22,BI-2536,-1.2219601890317615,-0.2021918145351645,0.2396429719802791,0.7522599639504146,4.561149668751575e-07,675,610,0.0021134380548828
EXPR_LOW:PLAAT4,Bromosporine,-0.603837333464157,-0.225774981854512,0.1175824149291916,0.3733758002029415,4.065864986932431e-07,551,491,0.0019819221513401
EXPR_LOW:PLAAT2,Bromosporine,-0.5596850786790011,-0.200867263849862,0.1231830016925685,0.3182463953615667,6.971892339006502e-06,551,491,0.0096126381068187
EXPR_LOW:STK32A,Buparlisib,-0.5445631511730863,-0.230915067159371,0.0907709217539593,0.366652144535326,3.318466852503646e-09,704,639,9.803636006789772e-05
EXPR_LOW:CCDC148,Buparlisib,-0.4734457466477945,-0.2071158723914193,0.0884679064419786,0.3000486500215163,1.216518301944253e-07,704,639,0.0009603185625197
EXPR_LOW:SYT13,Buparlisib,-0.4206370248731751,-0.1793892190118232,0.0912552616699134,0.2417767120001448,4.8765450788919e-06,704,639,0.0080561473249843
EXPR_LOW:CRYAB,Camptothecin,-0.77557612084781,-0.2027084120023026,0.1474093950760532,0.4866537064987457,1.9475543390924266e-07,711,646,0.0012700242846929
EXPR_LOW:PRODH,Camptothecin,-0.6768627818593302,-0.1867319185544985,0.1401067282998995,0.4022535943915272,1.697969571299312e-06,711,646,0.0045290399967613
EXPR_LOW:TMEM191C,Camptothecin,-0.5944767312670365,-0.1834491563730367,0.1253341155148856,0.3488218648578605,2.5916070351931092e-06,711,646,0.0057053122896527
EXPR_LOW:AIFM2,Cediranib,-0.8283278211274008,-0.1897950944155512,0.1695119645982581,0.4960843705148148,1.2989942511937147e-06,704,639,0.0039574996482586
EXPR_LOW:STING1,Cediranib,-0.6520160653625267,-0.1821379897226359,0.1392455848588342,0.3790947190392116,3.463217734427786e-06,704,639,0.0066725665514536
EXPR_LOW:PARD3B,Crizotinib,-0.4774965367677927,-0.1755615708614407,0.1054296377849126,0.270854446709364,7.058516974645636e-06,710,645,0.0096648941948284
EXPR_LOW:LAMB3,Cytarabine,-0.9942513920056988,-0.1986990466776336,0.2156790998884356,0.571520356224365,5.083284732757021e-06,577,517,0.0082389608516087
EXPR_LOW:CPEB2,Cytarabine,-0.9866910877587928,-0.2074514447005802,0.2046290308453823,0.5856181873018433,1.873363390406713e-06,577,517,0.0048702852165723
EXPR_LOW:CRYAB,Cytarabine,-0.8643500582133877,-0.2029058910888014,0.1834511182011718,0.5047858665390909,3.163176053193571e-06,577,517,0.0063322497734431
EXPR_LOW:IFITM10,Cytarabine,-0.8617138913325032,-0.199106937455108,0.1865295548807792,0.4961159637661758,4.856893922477145e-06,577,517,0.0080459213936692
EXPR_LOW:SLC22A4,Cytarabine,-0.8154311727779173,-0.1964489463737341,0.1789971671141874,0.46459672523411,6.524715144464606e-06,577,517,0.0093243388247371
MUT_HOT:BRAF,Dabrafenib,-3.178738751638919,-0.4369332147012701,0.2212248943493114,2.745137958714269,3.4418238799941096e-42,943,875,6.710923270394596e-36
EXPR_LOW:GRAMD2A,Dactolisib,-0.7558605615194968,-0.210308145762012,0.1389990940303977,0.4834223372199172,7.683628006705311e-08,704,639,0.0007000776086692
EXPR_LOW:KRT23,Dactolisib,-0.7139292672214912,-0.1853544024837661,0.1497305145970728,0.4204574586112285,2.3052453571887427e-06,704,639,0.0054089100858872
EXPR_LOW:SMIM5,Dactolisib,-0.6625966195772279,-0.1817177703287063,0.1418436278810911,0.3845831089302893,3.6504534229559993e-06,704,639,0.0068531478769816
EXPR_LOW:CCDC148,Dactolisib,-0.6586748122454424,-0.1856829476717365,0.1378890111205323,0.388412350449199,2.2104888479492856e-06,704,639,0.0052948974490824
EXPR_LOW:RORA,Dactolisib,-0.5499297660044392,-0.1862839048138349,0.1147393109841292,0.3250407164755459,2.046736467666286e-06,704,639,0.0050954682172675
EXPR_LOW:HEBP1,Dasatinib,-2.2080480466562875,-0.1781384394258155,0.4813720378279848,1.2645588525134372,5.408306488652238e-06,707,642,0.0085110593417901
EXPR_LOW:EXOC6B,Dasatinib,-1.8226953798611936,-0.1832181627513192,0.3859788470578437,1.06617683962782,2.865994780012255e-06,707,642,0.0059689104735356
EXPR_LOW:TFF3,Dasatinib,-1.233657036274205,-0.2412243282517555,0.1958789011251876,0.8497343900688372,5.592669597945638e-10,707,642,2.8696517538915716e-05
EXPR_LOW:PIP5K1B,Dasatinib,-1.192183456599487,-0.2463537457003491,0.1851061470645599,0.8293754083529497,2.3346145004240033e-10,707,642,1.6257388238424032e-05
EXPR_LOW:ZSWIM5,Dasatinib,-1.143578042661176,-0.2601793666596291,0.167496155735536,0.8152855774195256,2.0057110529573357e-11,707,642,1.9553837512165304e-06
EXPR_LOW:TMEM176A,Dasatinib,-1.1238310480058211,-0.2082571986616251,0.208307663287376,0.7155480279625641,9.644792832893227e-08,707,642,0.0008078729186664
EXPR_LOW:HRCT1,Dinaciclib,-0.5914816011929388,-0.1892827511134021,0.1262158006369061,0.3440986319446028,3.4566371857536312e-06,655,591,0.0066725665514536
EXPR_LOW:CCDC148,Docetaxel,-1.1156949556178677,-0.2196179283061914,0.1949965653060531,0.7335016876180035,1.615033509146276e-08,711,646,0.0002927121064171
EXPR_LOW:TTYH1,Docetaxel,-0.8589972463758554,-0.1881089354783029,0.1764587095238544,0.5131381757091008,1.4188348857281609e-06,711,646,0.004141237838837
EXPR_LOW:NOS1AP,Docetaxel,-0.8402026577249003,-0.1869674695704234,0.1736901184366642,0.4997700255890385,1.646752134788007e-06,711,646,0.0044533476566488
EXPR_LOW:TCF7L1,Entinostat,-0.6359567438181472,-0.1971367697781937,0.1295476324504394,0.3820433842152859,1.1830219564596775e-06,660,596,0.0037385334506586
EXPR_LOW:STOX2,Entinostat,-0.570297660440886,-0.1902752069067628,0.1205281996721611,0.3340623890834502,2.784065375903676e-06,660,596,0.0059456902683274
EXPR_LOW:SYCP2,Entinostat,-0.5511869695065428,-0.1836297770238038,0.1208604547880294,0.3143004781220051,6.196211295715235e-06,660,596,0.0091411320617922
EXPR_LOW:NAV2,Epirubicin,-0.8477118610595739,-0.2017966667148551,0.1627631583378359,0.5286960707174153,2.574383149047938e-07,704,639,0.001557341475856
EXPR_LOW:CHMP4C,Epirubicin,-0.804516233935595,-0.1811647790973546,0.172768322190674,0.4658903224418738,3.91164251956523e-06,704,639,0.00709486806598
EXPR_LOW:CYP4F12,Epirubicin,-0.7175245134970879,-0.2006534491260801,0.1385849512723389,0.4458980090033036,3.016566276812742e-07,704,639,0.0017012815505616
EXPR_LOW:LURAP1L,Epirubicin,-0.7044572406294257,-0.1856209802248639,0.1475242355031273,0.4153097390432962,2.2280706476949616e-06,704,639,0.0053134151849735
EXPR_LOW:STON2,Epirubicin,-0.6213905770732424,-0.1868300020421113,0.1292565462142099,0.3680477464933909,1.908066739864763e-06,704,639,0.0049211363207091
EXPR_LOW:RORA,Epirubicin,-0.550382049045243,-0.1872025666358113,0.1142498419723576,0.326452358779422,1.8186789056498503e-06,704,639,0.0047920124717548
MUT_DAM:CD36,Fludarabine,-2.5759138506995187,-0.1806153363129013,0.5531836677622013,1.4916738618856042,3.908685079998448e-06,708,643,0.00709486806598
EXPR_LOW:IFI16,Fulvestrant,-0.49488258555377,-0.1983873157098577,0.0962696305729194,0.3061941096308479,3.635648204820624e-07,710,645,0.0018517995699565
EXPR_LOW:GBP3,Fulvestrant,-0.4883422184061919,-0.1977889052092068,0.0952965027455299,0.3015610730249532,3.947906943674046e-07,710,645,0.0019537289658088
EXPR_LOW:PADI1,Fulvestrant,-0.4547998646877705,-0.2141251832799221,0.0816923033714248,0.2946829500797779,3.7997942142638974e-08,710,645,0.0004925066044057
EXPR_LOW:IL18,Fulvestrant,-0.4460794328435389,-0.1765405140142732,0.0979292701040907,0.254138063439521,6.261446514069072e-06,710,645,0.0091619367303131
EXPR_LOW:AREG,Fulvestrant,-0.4429995148546041,-0.1870562772337248,0.0916045407804274,0.2634546149249663,1.658269976554056e-06,710,645,0.0044659134428242
EXPR_LOW:APOL6,Fulvestrant,-0.4383719240363713,-0.1924734007528674,0.0880024823810586,0.2658870585694964,8.117714802342475e-07,710,645,0.0029907913456858
EXPR_LOW:IFIT3,GSK1904529A,-0.4757670360425663,-0.1831514642337699,0.1005530008767998,0.2786831543240387,2.74020052802104e-06,710,645,0.0058842365999381
EXPR_LOW:MYLK,GSK1904529A,-0.468178118822069,-0.1764516441699998,0.1028340968653577,0.2666232889659678,6.330099880798237e-06,710,645,0.009183430081234
EXPR_LOW:PADI1,GSK1904529A,-0.4478860671322212,-0.1798263812427823,0.0964708799414165,0.2588031424470447,4.167946606699959e-06,710,645,0.007387935437172
EXPR_LOW:PPL,GSK2830371,-0.5467650043309483,-0.207612437983032,0.1143004917725785,0.3227360404566943,2.260025643996665e-06,568,508,0.0053443136952171
EXPR_LOW:GPR39,GSK2830371,-0.5313566243439858,-0.2043915517845523,0.1129080340200676,0.3100568776646532,3.260276803244838e-06,568,508,0.0064282196533858
EXPR_LOW:KRT15,GSK2830371,-0.4879236803184624,-0.1981514034582303,0.1070840836001925,0.278038876462085,6.522886801806429e-06,568,508,0.0093243388247371
EXPR_LOW:CCDC148,GSK2830371,-0.462868252750805,-0.2147128082525394,0.0934154367268658,0.2797739967661479,9.870911599203973e-07,568,508,0.0033413995435266
EXPR_LOW:ABLIM3,GSK2830371,-0.443635936715445,-0.197626760920708,0.097633323620877,0.252274622418526,6.907730736944979e-06,568,508,0.009579519142665
EXPR_LOW:MMP7,GSK2830371,-0.3870992745987004,-0.1997553847920639,0.0842460873647415,0.2219769433638069,5.46912101140554e-06,568,508,0.0085642834008192
EXPR_LOW:SYNC,Gefitinib,-0.4778098055934316,-0.1798035170154675,0.1034118341882943,0.2751226105843747,4.632902338928898e-06,704,639,0.007854768174582
EXPR_LOW:MAF,Gemcitabine,-1.223088625120755,-0.1790198070200168,0.2648748959753723,0.7039338290090252,4.688033259036651e-06,709,644,0.0078887156827443
EXPR_LOW:KHDRBS3,Gemcitabine,-1.124446902834712,-0.1778423529075276,0.2451782590769683,0.6438975150438541,5.424004218075961e-06,709,644,0.0085220066144012
EXPR_LOW:TMEM86A,Gemcitabine,-1.0682801590121984,-0.1880546692781811,0.2198567048697312,0.6373610174675253,1.4834696862066504e-06,709,644,0.0042018041349431
EXPR_LOW:SPATA25,Gemcitabine,-1.0587670119687438,-0.1955145315556795,0.2092738469136571,0.6485902720179757,5.497350221380531e-07,709,644,0.0024087239144384
EXPR_LOW:SLC16A1,Ibrutinib,-2.9488095628570603,-0.2127845655341768,0.5579401139858227,1.855246939444848,1.7713275548940617e-07,653,589,0.0012118465992187
EXPR_LOW:NMT2,Ibrutinib,-1.6773315906201598,-0.1971312059756153,0.3437154588400614,1.0036492912936392,1.3675152143886464e-06,653,589,0.0040708443439059
EXPR_LOW:SLC9B2,Ibrutinib,-1.6073855604305032,-0.2250905534980329,0.2866914355375587,1.045470346776888,3.1729137937999336e-08,653,589,0.000448304208824
EXPR_LOW:MICB,Ibrutinib,-1.0440468265946967,-0.2019427206952253,0.2086378240415287,0.6351166914733003,7.420560220029501e-07,653,589,0.0028594322225251
EXPR_LOW:ZEB1,Ibrutinib,-0.8129219143929534,-0.1995019633534396,0.1645222449350358,0.4904583143202831,1.013736059388312e-06,653,589,0.0034138148331127
MUT_DAM:PTEN,Ipatasertib,-1.0537802346165992,-0.2221669050444855,0.1559856741448473,0.7480483132926983,2.585599403761569e-11,947,879,2.291565039565803e-06
EXPR_LOW:SKAP1,Ipatasertib,-0.5845854998935058,-0.1812620774599329,0.1254689434427393,0.3386663707457367,3.864426688501241e-06,704,639,0.0070594565957708
EXPR_LOW:IL6R,Irinotecan,-0.760963687873286,-0.2021188694332554,0.145184422029196,0.4764022206960619,2.162492758404498e-07,710,645,0.0013689814870848
EXPR_LOW:CRYAB,Irinotecan,-0.6981136087500142,-0.1829433390321985,0.1477194575942093,0.4085834718653638,2.8137140538794954e-06,710,645,0.0059503521493265
EXPR_LOW:LCAT,JQ1,-1.5366895343863147,-0.187951017356107,0.3194282290771701,0.9106102053950612,1.8821602521747556e-06,697,632,0.0048730042122968
EXPR_LOW:MYOF,JQ1,-1.1079708915724369,-0.1777523663268885,0.2439960128705345,0.629738706346189,6.707558194098589e-06,697,632,0.0094497863351044
EXPR_LOW:NOS1AP,JQ1,-0.6827541835875223,-0.1794032932344299,0.1489263250267711,0.3908585865350508,5.4864254843169515e-06,697,632,0.0085720564004621
EXPR_LOW:SLC16A1,Lapatinib,-2.181453582590211,-0.1971280399560666,0.4271802467894127,1.344180298882962,4.322742518794097e-07,710,645,0.0020607707890036
EXPR_LOW:LIX1L,Lapatinib,-0.9061512065754544,-0.1994697824707313,0.1752779246408448,0.5626064742793984,3.130194235428852e-07,710,645,0.0017389602994499
EXPR_LOW:PRKG1,Lapatinib,-0.7470749318050998,-0.1856741736826848,0.1556734646466344,0.4419549410976962,1.9832848169843778e-06,710,645,0.0050221304788483
EXPR_LOW:TLCD5,Lapatinib,-0.743389701820121,-0.1779267242646223,0.1618862274796855,0.4260926959599372,5.278368190627171e-06,710,645,0.008422133184923
EXPR_LOW:MSRB3,Lapatinib,-0.6888959318281334,-0.1870590086540508,0.1424494575828283,0.4096949949657899,1.6576813538984153e-06,710,645,0.0044659134428242
EXPR_LOW:ATP8B3,Lapatinib,-0.6787769926079705,-0.1966604570332379,0.1332493976392716,0.4176081732349982,4.608398916145802e-07,710,645,0.0021169278971194
EXPR_LOW:NCKAP5L,Linsitinib,-1.0213420949643717,-0.2135930460254259,0.1837926230138332,0.6611085538572585,4.015377076493676e-08,711,646,0.0005051126754697
EXPR_LOW:SP140L,Linsitinib,-0.7493131805905949,-0.17759943544084,0.1633601134676825,0.4291273581939371,5.404986724639191e-06,711,646,0.0085110593417901
EXPR_LOW:ALPK1,Linsitinib,-0.6982702428751119,-0.1838797184453368,0.1468602696587782,0.4104241143439064,2.452833178987379e-06,711,646,0.0055546729125673
EXPR_LOW:RIMKLB,Linsitinib,-0.6320410108159494,-0.17502079143384,0.1398890220188317,0.3578585276590392,7.417770893965025e-06,711,646,0.0099274656660919
EXPR_LOW:TRIM34,Linsitinib,-0.5783520003318022,-0.192725059902424,0.1158560456572553,0.3512741508435818,7.696147149044088e-07,711,646,0.0029282938850947
EXPR_LOW:FBXL13,Linsitinib,-0.480656800345655,-0.1825896081617574,0.1018309703039063,0.2810680985499985,2.891462024067767e-06,711,646,0.0059976796999145
EXPR_LOW:C11orf52,Luminespib,-0.9069394254992535,-0.1894793333862948,0.1850534017293225,0.5442347581097815,1.2077913198219073e-06,710,645,0.0037788874189836
EXPR_LOW:ITGB6,Luminespib,-0.8434743927502277,-0.1842814782920793,0.1771364708385027,0.4962869099067623,2.3720808226776893e-06,710,645,0.0054656865547362
EXPR_LOW:LGALS4,Luminespib,-0.7709788483918868,-0.1857885864880134,0.160552030142425,0.4562968693127336,1.954214852496231e-06,710,645,0.0049939179381845
EXPR_LOW:SOWAHB,Luminespib,-0.7685693416713016,-0.1828321341223604,0.1627300912004274,0.4496183629184639,2.853763739413417e-06,710,645,0.0059689104735356
EXPR_LOW:EPPK1,Luminespib,-0.7655237491907686,-0.1762370614449543,0.16835659070632,0.4355448314063813,6.498843028655582e-06,710,645,0.0093243388247371
EXPR_LOW:GADD45G,Luminespib,-0.70147134653867,-0.1899322008451192,0.1427753623009118,0.4216316364288829,1.1378000854801537e-06,710,645,0.0036428584753211
EXPR_LOW:HGD,MG-132,-0.3547903710813253,-0.1968470603088978,0.0695256547650744,0.2185200877417794,4.401203950399519e-07,711,646,0.0020678404534342
EXPR_LOW:STK32A,MK-1775,-0.6069704447821141,-0.1963625740798629,0.1192488103565622,0.3732427764832521,4.702914638711277e-07,711,646,0.0021525394857261
EXPR_LOW:TMEM191C,MK-1775,-0.4691414389492243,-0.196909148017728,0.0919040343258051,0.2890095316706462,4.363913114300146e-07,711,646,0.0020621136140067
EXPR_LOW:IRS2,MK-2206,-0.7067515575493434,-0.1891678165228267,0.1443412051143188,0.4238427955252785,1.2347074882403842e-06,711,646,0.0038274283241508
EXPR_LOW:TNFSF12,MK-2206,-0.5452479061142737,-0.1848533143741718,0.1140514163860703,0.3217071299975758,2.164795278456795e-06,711,646,0.0052827940809255
EXPR_LOW:BTC,MK-8776,-0.5996731642148929,-0.1818061501670588,0.1287124062268809,0.3473968480102063,3.872545159501691e-06,700,635,0.0070594565957708
EXPR_LOW:ZNF404,MK-8776,-0.5215583904314429,-0.1776939898662669,0.1146241944056687,0.2968949693963322,6.423746630086254e-06,700,635,0.0092641449403019
EXPR_LOW:PRRG2,Mitoxantrone,-0.9802220046953728,-0.203259575973087,0.2130937812654542,0.5625581934150825,5.3846946576441566e-06,551,491,0.0084944690927096
EXPR_LOW:SYT8,Mycophenolic acid,-0.6949922609246003,-0.195979268539626,0.1536845836646365,0.3937704769419127,7.612031218387838e-06,572,512,0.0099983764368472
EXPR_LOW:SRXN1,Navitoclax,-2.069268515718089,-0.1832952495570614,0.4369833446607438,1.212781160183031,2.690490889699803e-06,710,645,0.0058218051507709
EXPR_LOW:BCL3,Navitoclax,-1.569800447295266,-0.2051689714177939,0.2948589313498818,0.9918769418494976,1.4039289247665925e-07,710,645,0.0010295988194733
EXPR_LOW:TUFT1,Navitoclax,-1.416393248302256,-0.1914054767414701,0.2859860334043698,0.8558606228296911,9.36038325932136e-07,710,645,0.0032135906574372
EXPR_LOW:FAM114A1,Navitoclax,-1.2280234975399364,-0.1782087449120936,0.2669867364079801,0.7047294941802955,5.097286691669451e-06,710,645,0.0082479428614142
EXPR_LOW:ADAMTSL5,Navitoclax,-0.8485960631117768,-0.1858272800951745,0.1766772687395181,0.5023086163823214,1.9444763368001203e-06,710,645,0.0049886461488345
EXPR_LOW:ADAMTSL4,Navitoclax,-0.7728048336680194,-0.2089029573449176,0.1424478782522623,0.4936069922935852,8.198753848427982e-08,710,645,0.0007333055703544
EXPR_LOW:MPST,Nelarabine,-1.56480657372139,-0.2353081468223306,0.2919823118009571,0.9925212425915142,1.288777257239831e-07,550,490,0.0009777737418686
EXPR_LOW:ABHD4,Nelarabine,-1.0871607299426804,-0.2122650557970865,0.2261028628701922,0.6439991187171036,2.028831216414852e-06,550,490,0.0050730133931172
EXPR_LOW:THEM4,Nelarabine,-0.6528392048735141,-0.2030856247741783,0.14219459973188,0.3741377893990293,5.609414681634936e-06,550,490,0.0086735340974517
EXPR_LOW:GLCE,Nilotinib,-2.0786987525891516,-0.1901977677376296,0.4251238540187512,1.2454559987123992,1.2804464569286209e-06,702,637,0.0039317086438783
EXPR_LOW:TRAF3IP2,Nilotinib,-1.2905361414677547,-0.1913476526121705,0.2622874428378627,0.7764527535055439,1.1014220849713389e-06,702,637,0.0035852594391159
EXPR_LOW:EXOC6B,Nilotinib,-1.187503954009812,-0.19421087630609,0.2376528418773535,0.7217043839301991,7.539915874004221e-07,702,637,0.0028899380280609
EXPR_LOW:CHMP4C,Nilotinib,-0.7149954730577984,-0.1924271702197064,0.144468766165978,0.4318366913724815,9.554071242506188e-07,702,637,0.0032624660199261
